Lower layer Super Output Areas Code,Lower layer Super Output Areas,Car or van availability (5 categories) Code,Car or van availability (5 categories),Observation
E01026371,West Lindsey 011D,3,3 or more cars or vans in household,79
E01026372,West Lindsey 008A,-8,Does not apply,0
E01026372,West Lindsey 008A,0,No cars or vans in household,102
E01026372,West Lindsey 008A,1,1 car or van in household,424
E01026372,West Lindsey 008A,2,2 cars or vans in household,392
E01026372,West Lindsey 008A,3,3 or more cars or vans in household,164
E01026373,West Lindsey 011E,-8,Does not apply,0
E01026373,West Lindsey 011E,0,No cars or vans in household,75
E01026373,West Lindsey 011E,1,1 car or van in household,356
E01026373,West Lindsey 011E,2,2 cars or vans in household,368
E01026373,West Lindsey 011E,3,3 or more cars or vans in household,143
E01026374,West Lindsey 006A,-8,Does not apply,0
E01026374,West Lindsey 006A,0,No cars or vans in household,238
E01026374,West Lindsey 006A,1,1 car or van in household,277
E01026374,West Lindsey 006A,2,2 cars or vans in household,78
E01026374,West Lindsey 006A,3,3 or more cars or vans in household,24
E01026375,West Lindsey 006B,-8,Does not apply,0
E01026375,West Lindsey 006B,0,No cars or vans in household,202
E01026375,West Lindsey 006B,1,1 car or van in household,410
E01026375,West Lindsey 006B,2,2 cars or vans in household,184
E01026375,West Lindsey 006B,3,3 or more cars or vans in household,50
E01026376,West Lindsey 006C,-8,Does not apply,0
E01026376,West Lindsey 006C,0,No cars or vans in household,240
E01026376,West Lindsey 006C,1,1 car or van in household,336
E01026376,West Lindsey 006C,2,2 cars or vans in household,143
E01026376,West Lindsey 006C,3,3 or more cars or vans in household,42
E01026377,West Lindsey 006D,-8,Does not apply,0
E01026377,West Lindsey 006D,0,No cars or vans in household,183
E01026377,West Lindsey 006D,1,1 car or van in household,410
E01026377,West Lindsey 006D,2,2 cars or vans in household,256
E01026377,West Lindsey 006D,3,3 or more cars or vans in household,64
E01026378,West Lindsey 004A,-8,Does not apply,0
E01026378,West Lindsey 004A,0,No cars or vans in household,228
E01026378,West Lindsey 004A,1,1 car or van in household,358
E01026378,West Lindsey 004A,2,2 cars or vans in household,120
E01026378,West Lindsey 004A,3,3 or more cars or vans in household,32
E01026379,West Lindsey 004B,-8,Does not apply,0
E01026379,West Lindsey 004B,0,No cars or vans in household,217
E01026379,West Lindsey 004B,1,1 car or van in household,370
E01026379,West Lindsey 004B,2,2 cars or vans in household,180
E01026379,West Lindsey 004B,3,3 or more cars or vans in household,57
E01026380,West Lindsey 002A,-8,Does not apply,0
E01026380,West Lindsey 002A,0,No cars or vans in household,124
E01026380,West Lindsey 002A,1,1 car or van in household,488
E01026380,West Lindsey 002A,2,2 cars or vans in household,368
E01026380,West Lindsey 002A,3,3 or more cars or vans in household,98
E01026381,West Lindsey 004C,-8,Does not apply,0
E01026381,West Lindsey 004C,0,No cars or vans in household,242
E01026381,West Lindsey 004C,1,1 car or van in household,429
E01026381,West Lindsey 004C,2,2 cars or vans in household,156
E01026381,West Lindsey 004C,3,3 or more cars or vans in household,48
E01026382,West Lindsey 004D,-8,Does not apply,0
E01026382,West Lindsey 004D,0,No cars or vans in household,212
E01026382,West Lindsey 004D,1,1 car or van in household,325
E01026382,West Lindsey 004D,2,2 cars or vans in household,191
E01026382,West Lindsey 004D,3,3 or more cars or vans in household,55
E01026383,West Lindsey 004E,-8,Does not apply,0
E01026383,West Lindsey 004E,0,No cars or vans in household,358
E01026383,West Lindsey 004E,1,1 car or van in household,287
E01026383,West Lindsey 004E,2,2 cars or vans in household,77
E01026383,West Lindsey 004E,3,3 or more cars or vans in household,12
E01026384,West Lindsey 004F,-8,Does not apply,0
E01026384,West Lindsey 004F,0,No cars or vans in household,440
E01026384,West Lindsey 004F,1,1 car or van in household,467
E01026384,West Lindsey 004F,2,2 cars or vans in household,160
E01026384,West Lindsey 004F,3,3 or more cars or vans in household,38
E01026385,West Lindsey 005A,-8,Does not apply,0
E01026385,West Lindsey 005A,0,No cars or vans in household,41
E01026385,West Lindsey 005A,1,1 car or van in household,179
E01026385,West Lindsey 005A,2,2 cars or vans in household,181
E01026385,West Lindsey 005A,3,3 or more cars or vans in household,96
E01026386,West Lindsey 005B,-8,Does not apply,0
E01026386,West Lindsey 005B,0,No cars or vans in household,48
E01026386,West Lindsey 005B,1,1 car or van in household,231
E01026386,West Lindsey 005B,2,2 cars or vans in household,182
E01026386,West Lindsey 005B,3,3 or more cars or vans in household,75
E01026387,West Lindsey 001C,-8,Does not apply,0
E01026387,West Lindsey 001C,0,No cars or vans in household,66
E01026387,West Lindsey 001C,1,1 car or van in household,346
E01026387,West Lindsey 001C,2,2 cars or vans in household,464
E01026387,West Lindsey 001C,3,3 or more cars or vans in household,265
E01026388,West Lindsey 007A,-8,Does not apply,0
E01026388,West Lindsey 007A,0,No cars or vans in household,68
E01026388,West Lindsey 007A,1,1 car or van in household,366
E01026388,West Lindsey 007A,2,2 cars or vans in household,368
E01026388,West Lindsey 007A,3,3 or more cars or vans in household,161
E01026389,West Lindsey 003A,-8,Does not apply,0
E01026389,West Lindsey 003A,0,No cars or vans in household,219
E01026389,West Lindsey 003A,1,1 car or van in household,442
E01026389,West Lindsey 003A,2,2 cars or vans in household,190
E01026389,West Lindsey 003A,3,3 or more cars or vans in household,58
E01026390,West Lindsey 003B,-8,Does not apply,0
E01026390,West Lindsey 003B,0,No cars or vans in household,208
E01026390,West Lindsey 003B,1,1 car or van in household,383
E01026390,West Lindsey 003B,2,2 cars or vans in household,217
E01026390,West Lindsey 003B,3,3 or more cars or vans in household,66
E01026391,West Lindsey 003C,-8,Does not apply,0
E01026391,West Lindsey 003C,0,No cars or vans in household,79
E01026391,West Lindsey 003C,1,1 car or van in household,349
E01026391,West Lindsey 003C,2,2 cars or vans in household,335
E01026391,West Lindsey 003C,3,3 or more cars or vans in household,135
E01026392,West Lindsey 003D,-8,Does not apply,0
E01026392,West Lindsey 003D,0,No cars or vans in household,126
E01026392,West Lindsey 003D,1,1 car or van in household,509
E01026392,West Lindsey 003D,2,2 cars or vans in household,462
E01026392,West Lindsey 003D,3,3 or more cars or vans in household,238
E01026393,West Lindsey 010A,-8,Does not apply,0
E01026393,West Lindsey 010A,0,No cars or vans in household,68
E01026393,West Lindsey 010A,1,1 car or van in household,301
E01026393,West Lindsey 010A,2,2 cars or vans in household,243
E01026393,West Lindsey 010A,3,3 or more cars or vans in household,76
E01026394,West Lindsey 010B,-8,Does not apply,0
E01026394,West Lindsey 010B,0,No cars or vans in household,97
E01026394,West Lindsey 010B,1,1 car or van in household,383
E01026394,West Lindsey 010B,2,2 cars or vans in household,391
E01026394,West Lindsey 010B,3,3 or more cars or vans in household,121
E01026395,West Lindsey 010C,-8,Does not apply,0
E01026395,West Lindsey 010C,0,No cars or vans in household,118
E01026395,West Lindsey 010C,1,1 car or van in household,309
E01026395,West Lindsey 010C,2,2 cars or vans in household,258
E01026395,West Lindsey 010C,3,3 or more cars or vans in household,67
E01026396,West Lindsey 009A,-8,Does not apply,0
E01026396,West Lindsey 009A,0,No cars or vans in household,75
E01026396,West Lindsey 009A,1,1 car or van in household,279
E01026396,West Lindsey 009A,2,2 cars or vans in household,216
E01026396,West Lindsey 009A,3,3 or more cars or vans in household,68
E01026398,West Lindsey 009C,-8,Does not apply,0
E01026398,West Lindsey 009C,0,No cars or vans in household,127
E01026398,West Lindsey 009C,1,1 car or van in household,361
E01026398,West Lindsey 009C,2,2 cars or vans in household,220
E01026398,West Lindsey 009C,3,3 or more cars or vans in household,79
E01026399,West Lindsey 005C,-8,Does not apply,0
E01026399,West Lindsey 005C,0,No cars or vans in household,58
E01026399,West Lindsey 005C,1,1 car or van in household,238
E01026399,West Lindsey 005C,2,2 cars or vans in household,243
E01026399,West Lindsey 005C,3,3 or more cars or vans in household,116
E01026400,West Lindsey 009D,-8,Does not apply,0
E01026400,West Lindsey 009D,0,No cars or vans in household,21
E01026400,West Lindsey 009D,1,1 car or van in household,222
E01026400,West Lindsey 009D,2,2 cars or vans in household,266
E01026400,West Lindsey 009D,3,3 or more cars or vans in household,96
E01026401,West Lindsey 002B,-8,Does not apply,0
E01026401,West Lindsey 002B,0,No cars or vans in household,27
E01026401,West Lindsey 002B,1,1 car or van in household,222
E01026401,West Lindsey 002B,2,2 cars or vans in household,300
E01026401,West Lindsey 002B,3,3 or more cars or vans in household,104
E01026402,West Lindsey 002C,-8,Does not apply,0
E01026402,West Lindsey 002C,0,No cars or vans in household,74
E01026402,West Lindsey 002C,1,1 car or van in household,355
E01026402,West Lindsey 002C,2,2 cars or vans in household,307
E01026402,West Lindsey 002C,3,3 or more cars or vans in household,116
E01026403,West Lindsey 002D,-8,Does not apply,0
E01026403,West Lindsey 002D,0,No cars or vans in household,39
E01026403,West Lindsey 002D,1,1 car or van in household,186
E01026403,West Lindsey 002D,2,2 cars or vans in household,208
E01026403,West Lindsey 002D,3,3 or more cars or vans in household,125
E01026404,West Lindsey 007B,-8,Does not apply,0
E01026404,West Lindsey 007B,0,No cars or vans in household,90
E01026404,West Lindsey 007B,1,1 car or van in household,421
E01026404,West Lindsey 007B,2,2 cars or vans in household,368
E01026404,West Lindsey 007B,3,3 or more cars or vans in household,178
E01026405,West Lindsey 010D,-8,Does not apply,0
E01026405,West Lindsey 010D,0,No cars or vans in household,39
E01026405,West Lindsey 010D,1,1 car or van in household,213
E01026405,West Lindsey 010D,2,2 cars or vans in household,237
E01026405,West Lindsey 010D,3,3 or more cars or vans in household,118
E01026406,West Lindsey 010E,-8,Does not apply,0
E01026406,West Lindsey 010E,0,No cars or vans in household,37
E01026406,West Lindsey 010E,1,1 car or van in household,182
E01026406,West Lindsey 010E,2,2 cars or vans in household,227
E01026406,West Lindsey 010E,3,3 or more cars or vans in household,67
E01026407,West Lindsey 002E,-8,Does not apply,0
E01026407,West Lindsey 002E,0,No cars or vans in household,63
E01026407,West Lindsey 002E,1,1 car or van in household,216
E01026407,West Lindsey 002E,2,2 cars or vans in household,189
E01026407,West Lindsey 002E,3,3 or more cars or vans in household,126
E01026408,West Lindsey 002F,-8,Does not apply,0
E01026408,West Lindsey 002F,0,No cars or vans in household,68
E01026408,West Lindsey 002F,1,1 car or van in household,256
E01026408,West Lindsey 002F,2,2 cars or vans in household,206
E01026408,West Lindsey 002F,3,3 or more cars or vans in household,71
E01026409,West Lindsey 007C,-8,Does not apply,0
E01026409,West Lindsey 007C,0,No cars or vans in household,33
E01026409,West Lindsey 007C,1,1 car or van in household,215
E01026409,West Lindsey 007C,2,2 cars or vans in household,215
E01026409,West Lindsey 007C,3,3 or more cars or vans in household,102
E01026410,West Lindsey 007D,-8,Does not apply,0
E01026410,West Lindsey 007D,0,No cars or vans in household,65
E01026410,West Lindsey 007D,1,1 car or van in household,418
E01026410,West Lindsey 007D,2,2 cars or vans in household,209
E01026410,West Lindsey 007D,3,3 or more cars or vans in household,91
E01026411,West Lindsey 005D,-8,Does not apply,0
E01026411,West Lindsey 005D,0,No cars or vans in household,73
E01026411,West Lindsey 005D,1,1 car or van in household,400
E01026411,West Lindsey 005D,2,2 cars or vans in household,440
E01026411,West Lindsey 005D,3,3 or more cars or vans in household,188
E01026412,West Lindsey 008B,-8,Does not apply,0
E01026412,West Lindsey 008B,0,No cars or vans in household,122
E01026412,West Lindsey 008B,1,1 car or van in household,355
E01026412,West Lindsey 008B,2,2 cars or vans in household,294
E01026412,West Lindsey 008B,3,3 or more cars or vans in household,76
E01026413,West Lindsey 008C,-8,Does not apply,0
E01026413,West Lindsey 008C,0,No cars or vans in household,86
E01026413,West Lindsey 008C,1,1 car or van in household,353
E01026413,West Lindsey 008C,2,2 cars or vans in household,323
E01026413,West Lindsey 008C,3,3 or more cars or vans in household,130
E01026414,West Lindsey 008D,-8,Does not apply,0
E01026414,West Lindsey 008D,0,No cars or vans in household,48
E01026414,West Lindsey 008D,1,1 car or van in household,273
E01026414,West Lindsey 008D,2,2 cars or vans in household,339
E01026414,West Lindsey 008D,3,3 or more cars or vans in household,152
E01026415,West Lindsey 003E,-8,Does not apply,0
E01026415,West Lindsey 003E,0,No cars or vans in household,51
E01026415,West Lindsey 003E,1,1 car or van in household,239
E01026415,West Lindsey 003E,2,2 cars or vans in household,141
E01026415,West Lindsey 003E,3,3 or more cars or vans in household,63
E01026416,West Lindsey 001D,-8,Does not apply,0
E01026416,West Lindsey 001D,0,No cars or vans in household,61
E01026416,West Lindsey 001D,1,1 car or van in household,192
E01026416,West Lindsey 001D,2,2 cars or vans in household,225
E01026416,West Lindsey 001D,3,3 or more cars or vans in household,93
E01032683,West Lindsey 001G,-8,Does not apply,0
E01032683,West Lindsey 001G,0,No cars or vans in household,96
E01032683,West Lindsey 001G,1,1 car or van in household,451
E01032683,West Lindsey 001G,2,2 cars or vans in household,345
E01032683,West Lindsey 001G,3,3 or more cars or vans in household,139
E01032986,East Lindsey 004D,-8,Does not apply,0
E01032986,East Lindsey 004D,0,No cars or vans in household,156
E01032986,East Lindsey 004D,1,1 car or van in household,296
E01032986,East Lindsey 004D,2,2 cars or vans in household,108
E01032986,East Lindsey 004D,3,3 or more cars or vans in household,34
E01032987,East Lindsey 004E,-8,Does not apply,0
E01032987,East Lindsey 004E,0,No cars or vans in household,159
E01032987,East Lindsey 004E,1,1 car or van in household,370
E01032987,East Lindsey 004E,2,2 cars or vans in household,149
E01032987,East Lindsey 004E,3,3 or more cars or vans in household,26
E01032988,North Kesteven 013B,-8,Does not apply,0
E01032988,North Kesteven 013B,0,No cars or vans in household,110
E01032988,North Kesteven 013B,1,1 car or van in household,333
E01032988,North Kesteven 013B,2,2 cars or vans in household,284
E01032988,North Kesteven 013B,3,3 or more cars or vans in household,71
E01032989,North Kesteven 013C,-8,Does not apply,0
E01032989,North Kesteven 013C,0,No cars or vans in household,46
E01032989,North Kesteven 013C,1,1 car or van in household,358
E01032989,North Kesteven 013C,2,2 cars or vans in household,333
E01032989,North Kesteven 013C,3,3 or more cars or vans in household,75
E01032991,North Kesteven 014E,-8,Does not apply,0
E01032991,North Kesteven 014E,0,No cars or vans in household,119
E01032991,North Kesteven 014E,1,1 car or van in household,401
E01032991,North Kesteven 014E,2,2 cars or vans in household,325
E01032991,North Kesteven 014E,3,3 or more cars or vans in household,95
E01032992,North Kesteven 014F,-8,Does not apply,0
E01032992,North Kesteven 014F,0,No cars or vans in household,101
E01032992,North Kesteven 014F,1,1 car or van in household,320
E01032992,North Kesteven 014F,2,2 cars or vans in household,200
E01032992,North Kesteven 014F,3,3 or more cars or vans in household,63
E01032993,North Kesteven 013D,-8,Does not apply,0
E01032993,North Kesteven 013D,0,No cars or vans in household,81
E01032993,North Kesteven 013D,1,1 car or van in household,437
E01032993,North Kesteven 013D,2,2 cars or vans in household,413
E01032993,North Kesteven 013D,3,3 or more cars or vans in household,116
E01032994,North Kesteven 003H,-8,Does not apply,0
E01032994,North Kesteven 003H,0,No cars or vans in household,48
E01032994,North Kesteven 003H,1,1 car or van in household,285
E01032994,North Kesteven 003H,2,2 cars or vans in household,238
E01032994,North Kesteven 003H,3,3 or more cars or vans in household,96
E01032995,South Holland 006F,-8,Does not apply,0
E01032995,South Holland 006F,0,No cars or vans in household,297
E01032995,South Holland 006F,1,1 car or van in household,301
E01032995,South Holland 006F,2,2 cars or vans in household,96
E01032995,South Holland 006F,3,3 or more cars or vans in household,34
E01032996,South Holland 006G,-8,Does not apply,0
E01032996,South Holland 006G,0,No cars or vans in household,62
E01032996,South Holland 006G,1,1 car or van in household,225
E01032996,South Holland 006G,2,2 cars or vans in household,199
E01032996,South Holland 006G,3,3 or more cars or vans in household,82
E01032997,South Kesteven 011E,-8,Does not apply,0
E01032997,South Kesteven 011E,0,No cars or vans in household,40
E01032997,South Kesteven 011E,1,1 car or van in household,214
E01032997,South Kesteven 011E,2,2 cars or vans in household,180
E01032997,South Kesteven 011E,3,3 or more cars or vans in household,57
E01032998,South Kesteven 011F,-8,Does not apply,0
E01032998,South Kesteven 011F,0,No cars or vans in household,58
E01032998,South Kesteven 011F,1,1 car or van in household,316
E01032998,South Kesteven 011F,2,2 cars or vans in household,308
E01032998,South Kesteven 011F,3,3 or more cars or vans in household,58
E01032999,South Kesteven 011G,-8,Does not apply,0
E01032999,South Kesteven 011G,0,No cars or vans in household,97
E01032999,South Kesteven 011G,1,1 car or van in household,237
E01032999,South Kesteven 011G,2,2 cars or vans in household,174
E01032999,South Kesteven 011G,3,3 or more cars or vans in household,60
E01034679,Boston 002F,-8,Does not apply,0
E01034679,Boston 002F,0,No cars or vans in household,121
E01034679,Boston 002F,1,1 car or van in household,240
E01034679,Boston 002F,2,2 cars or vans in household,135
E01034679,Boston 002F,3,3 or more cars or vans in household,54
E01034680,Boston 002G,-8,Does not apply,0
E01034680,Boston 002G,0,No cars or vans in household,195
E01034680,Boston 002G,1,1 car or van in household,233
E01034680,Boston 002G,2,2 cars or vans in household,95
E01034680,Boston 002G,3,3 or more cars or vans in household,44
E01034681,Boston 003E,-8,Does not apply,0
E01034681,Boston 003E,0,No cars or vans in household,263
E01034681,Boston 003E,1,1 car or van in household,264
E01034681,Boston 003E,2,2 cars or vans in household,56
E01034681,Boston 003E,3,3 or more cars or vans in household,17
E01034682,Boston 003F,-8,Does not apply,0
E01034682,Boston 003F,0,No cars or vans in household,223
E01034682,Boston 003F,1,1 car or van in household,300
E01034682,Boston 003F,2,2 cars or vans in household,102
E01034682,Boston 003F,3,3 or more cars or vans in household,28
E01034683,Boston 009E,-8,Does not apply,0
E01034683,Boston 009E,0,No cars or vans in household,62
E01034683,Boston 009E,1,1 car or van in household,258
E01034683,Boston 009E,2,2 cars or vans in household,190
E01034683,Boston 009E,3,3 or more cars or vans in household,65
E01034684,Boston 009F,-8,Does not apply,0
E01034684,Boston 009F,0,No cars or vans in household,51
E01034684,Boston 009F,1,1 car or van in household,261
E01034684,Boston 009F,2,2 cars or vans in household,177
E01034684,Boston 009F,3,3 or more cars or vans in household,69
E01034685,East Lindsey 012E,-8,Does not apply,0
E01034685,East Lindsey 012E,0,No cars or vans in household,120
E01034685,East Lindsey 012E,1,1 car or van in household,352
E01034685,East Lindsey 012E,2,2 cars or vans in household,126
E01034685,East Lindsey 012E,3,3 or more cars or vans in household,43
E01034686,East Lindsey 012F,-8,Does not apply,0
E01034686,East Lindsey 012F,0,No cars or vans in household,141
E01034686,East Lindsey 012F,1,1 car or van in household,389
E01034686,East Lindsey 012F,2,2 cars or vans in household,186
E01034686,East Lindsey 012F,3,3 or more cars or vans in household,29
E01034687,Lincoln 005E,-8,Does not apply,0
E01034687,Lincoln 005E,0,No cars or vans in household,134
E01034687,Lincoln 005E,1,1 car or van in household,216
E01034687,Lincoln 005E,2,2 cars or vans in household,88
E01034687,Lincoln 005E,3,3 or more cars or vans in household,24
E01034688,Lincoln 005F,-8,Does not apply,0
E01034688,Lincoln 005F,0,No cars or vans in household,156
E01034688,Lincoln 005F,1,1 car or van in household,188
E01034688,Lincoln 005F,2,2 cars or vans in household,72
E01034688,Lincoln 005F,3,3 or more cars or vans in household,14
E01034689,Lincoln 007E,-8,Does not apply,0
E01034689,Lincoln 007E,0,No cars or vans in household,65
E01034689,Lincoln 007E,1,1 car or van in household,274
E01034689,Lincoln 007E,2,2 cars or vans in household,157
E01034689,Lincoln 007E,3,3 or more cars or vans in household,23
E01034690,Lincoln 007F,-8,Does not apply,0
E01034690,Lincoln 007F,0,No cars or vans in household,113
E01034690,Lincoln 007F,1,1 car or van in household,320
E01034690,Lincoln 007F,2,2 cars or vans in household,204
E01034690,Lincoln 007F,3,3 or more cars or vans in household,54
E01034691,Lincoln 008E,-8,Does not apply,0
E01034691,Lincoln 008E,0,No cars or vans in household,166
E01034691,Lincoln 008E,1,1 car or van in household,225
E01034691,Lincoln 008E,2,2 cars or vans in household,62
E01034691,Lincoln 008E,3,3 or more cars or vans in household,9
E01034692,Lincoln 008F,-8,Does not apply,0
E01034692,Lincoln 008F,0,No cars or vans in household,228
E01034692,Lincoln 008F,1,1 car or van in household,296
E01034692,Lincoln 008F,2,2 cars or vans in household,96
E01034692,Lincoln 008F,3,3 or more cars or vans in household,17
E01034693,North Kesteven 003I,-8,Does not apply,0
E01034693,North Kesteven 003I,0,No cars or vans in household,10
E01034693,North Kesteven 003I,1,1 car or van in household,230
E01034693,North Kesteven 003I,2,2 cars or vans in household,356
E01034693,North Kesteven 003I,3,3 or more cars or vans in household,78
E01034694,North Kesteven 003J,-8,Does not apply,0
E01034694,North Kesteven 003J,0,No cars or vans in household,19
E01034694,North Kesteven 003J,1,1 car or van in household,273
E01034694,North Kesteven 003J,2,2 cars or vans in household,334
E01034694,North Kesteven 003J,3,3 or more cars or vans in household,83
E01034695,North Kesteven 011F,-8,Does not apply,0
E01034695,North Kesteven 011F,0,No cars or vans in household,32
E01034695,North Kesteven 011F,1,1 car or van in household,247
E01034695,North Kesteven 011F,2,2 cars or vans in household,367
E01034695,North Kesteven 011F,3,3 or more cars or vans in household,100
E01034696,North Kesteven 011G,-8,Does not apply,0
E01034696,North Kesteven 011G,0,No cars or vans in household,36
E01034696,North Kesteven 011G,1,1 car or van in household,216
E01034696,North Kesteven 011G,2,2 cars or vans in household,271
E01034696,North Kesteven 011G,3,3 or more cars or vans in household,100
E01034697,South Holland 006H,-8,Does not apply,0
E01034697,South Holland 006H,0,No cars or vans in household,68
E01034697,South Holland 006H,1,1 car or van in household,304
E01034697,South Holland 006H,2,2 cars or vans in household,214
E01034697,South Holland 006H,3,3 or more cars or vans in household,65
E01034698,South Holland 006I,-8,Does not apply,0
E01034698,South Holland 006I,0,No cars or vans in household,36
E01034698,South Holland 006I,1,1 car or van in household,256
E01034698,South Holland 006I,2,2 cars or vans in household,264
E01034698,South Holland 006I,3,3 or more cars or vans in household,74
E01034699,South Holland 009F,-8,Does not apply,0
E01034699,South Holland 009F,0,No cars or vans in household,84
E01034699,South Holland 009F,1,1 car or van in household,262
E01034699,South Holland 009F,2,2 cars or vans in household,154
E01034699,South Holland 009F,3,3 or more cars or vans in household,49
E01034700,South Holland 009G,-8,Does not apply,0
E01034700,South Holland 009G,0,No cars or vans in household,79
E01034700,South Holland 009G,1,1 car or van in household,338
E01034700,South Holland 009G,2,2 cars or vans in household,192
E01034700,South Holland 009G,3,3 or more cars or vans in household,59
E01034701,South Kesteven 004F,-8,Does not apply,0
E01034701,South Kesteven 004F,0,No cars or vans in household,46
E01034701,South Kesteven 004F,1,1 car or van in household,234
E01034701,South Kesteven 004F,2,2 cars or vans in household,281
E01034701,South Kesteven 004F,3,3 or more cars or vans in household,41
E01034702,South Kesteven 004G,-8,Does not apply,0
E01034702,South Kesteven 004G,0,No cars or vans in household,51
E01034702,South Kesteven 004G,1,1 car or van in household,267
E01034702,South Kesteven 004G,2,2 cars or vans in household,240
E01034702,South Kesteven 004G,3,3 or more cars or vans in household,91
E01034703,South Kesteven 010E,-8,Does not apply,0
E01034703,South Kesteven 010E,0,No cars or vans in household,80
E01034703,South Kesteven 010E,1,1 car or van in household,242
E01034703,South Kesteven 010E,2,2 cars or vans in household,185
E01034703,South Kesteven 010E,3,3 or more cars or vans in household,67
E01034704,South Kesteven 010F,-8,Does not apply,0
E01034704,South Kesteven 010F,0,No cars or vans in household,47
E01034704,South Kesteven 010F,1,1 car or van in household,221
E01034704,South Kesteven 010F,2,2 cars or vans in household,235
E01034704,South Kesteven 010F,3,3 or more cars or vans in household,47
E01034705,South Kesteven 010G,-8,Does not apply,0
E01034705,South Kesteven 010G,0,No cars or vans in household,29
E01034705,South Kesteven 010G,1,1 car or van in household,220
E01034705,South Kesteven 010G,2,2 cars or vans in household,263
E01034705,South Kesteven 010G,3,3 or more cars or vans in household,38
E01034706,West Lindsey 009E,-8,Does not apply,0
E01034706,West Lindsey 009E,0,No cars or vans in household,37
E01034706,West Lindsey 009E,1,1 car or van in household,240
E01034706,West Lindsey 009E,2,2 cars or vans in household,282
E01034706,West Lindsey 009E,3,3 or more cars or vans in household,85
E01034707,West Lindsey 009F,-8,Does not apply,0
E01034707,West Lindsey 009F,0,No cars or vans in household,26
E01034707,West Lindsey 009F,1,1 car or van in household,272
E01034707,West Lindsey 009F,2,2 cars or vans in household,225
E01034707,West Lindsey 009F,3,3 or more cars or vans in household,89
